warning: Some design elements have no explicit time unit and/or
       : time precision. This may cause confusing timing results.
       : Affected design elements are:
       :   -- module alarm_comparator declared here: design.sv:6
       :   -- module clock_divider declared here: design.sv:80
       :   -- module clock_divider_pulse declared here: design.sv:51
       :   -- module display_mux declared here: design.sv:112
       :   -- module hours_counter declared here: design.sv:168
       :   -- module minutes_counter declared here: design.sv:193
       :   -- module seconds_counter declared here: design.sv:224
       :   -- module seg_decoder declared here: design.sv:256
       :   -- module top_digital_clock declared here: design.sv:283
VCD info: dumpfile digital_clock.vcd opened for output.
T=0 | rst=1 | H:M:S = 0:0:0 | alarm_en=0 | alarm_out=0
T=9725000 | rst=0 | H:M:S = 0:1:37 | alarm_en=1 | alarm_out=0
T=9825000 | rst=0 | H:M:S = 0:1:38 | alarm_en=1 | alarm_out=0
T=9925000 | rst=0 | H:M:S = 0:1:39 | alarm_en=1 | alarm_out=0
T=10025000 | rst=0 | H:M:S = 0:1:40 | alarm_en=1 | alarm_out=0
T=10125000 | rst=0 | H:M:S = 0:1:41 | alarm_en=1 | alarm_out=0
T=10225000 | rst=0 | H:M:S = 0:1:42 | alarm_en=1 | alarm_out=0
T=10325000 | rst=0 | H:M:S = 0:1:43 | alarm_en=1 | alarm_out=0
T=10425000 | rst=0 | H:M:S = 0:1:44 | alarm_en=1 | alarm_out=0
T=10525000 | rst=0 | H:M:S = 0:1:45 | alarm_en=1 | alarm_out=0
T=10625000 | rst=0 | H:M:S = 0:1:46 | alarm_en=1 | alarm_out=0
T=10725000 | rst=0 | H:M:S = 0:1:47 | alarm_en=1 | alarm_out=0
T=10825000 | rst=0 | H:M:S = 0:1:48 | alarm_en=1 | alarm_out=0
T=10925000 | rst=0 | H:M:S = 0:1:49 | alarm_en=1 | alarm_out=0
T=11025000 | rst=0 | H:M:S = 0:1:50 | alarm_en=1 | alarm_out=0
T=11125000 | rst=0 | H:M:S = 0:1:51 | alarm_en=1 | alarm_out=0
T=11225000 | rst=0 | H:M:S = 0:1:52 | alarm_en=1 | alarm_out=0
T=11325000 | rst=0 | H:M:S = 0:1:53 | alarm_en=1 | alarm_out=0
T=11425000 | rst=0 | H:M:S = 0:1:54 | alarm_en=1 | alarm_out=0
T=11525000 | rst=0 | H:M:S = 0:1:55 | alarm_en=1 | alarm_out=0
T=11625000 | rst=0 | H:M:S = 0:1:56 | alarm_en=1 | alarm_out=0
T=11725000 | rst=0 | H:M:S = 0:1:57 | alarm_en=1 | alarm_out=0
T=11825000 | rst=0 | H:M:S = 0:1:58 | alarm_en=1 | alarm_out=0
T=11925000 | rst=0 | H:M:S = 0:1:59 | alarm_en=1 | alarm_out=0
T=12025000 | rst=0 | H:M:S = 0:1:0 | alarm_en=1 | alarm_out=0
T=12035000 | rst=0 | H:M:S = 0:2:0 | alarm_en=1 | alarm_out=1
T=12125000 | rst=0 | H:M:S = 0:2:1 | alarm_en=1 | alarm_out=0
T=12225000 | rst=0 | H:M:S = 0:2:2 | alarm_en=1 | alarm_out=0
T=12325000 | rst=0 | H:M:S = 0:2:3 | alarm_en=1 | alarm_out=0
T=12425000 | rst=0 | H:M:S = 0:2:4 | alarm_en=1 | alarm_out=0
T=12525000 | rst=0 | H:M:S = 0:2:5 | alarm_en=1 | alarm_out=0
T=12625000 | rst=0 | H:M:S = 0:2:6 | alarm_en=1 | alarm_out=0
T=12725000 | rst=0 | H:M:S = 0:2:7 | alarm_en=1 | alarm_out=0
T=12825000 | rst=0 | H:M:S = 0:2:8 | alarm_en=1 | alarm_out=0
T=12925000 | rst=0 | H:M:S = 0:2:9 | alarm_en=1 | alarm_out=0
T=13025000 | rst=0 | H:M:S = 0:2:10 | alarm_en=1 | alarm_out=0
T=13125000 | rst=0 | H:M:S = 0:2:11 | alarm_en=1 | alarm_out=0
T=13225000 | rst=0 | H:M:S = 0:2:12 | alarm_en=1 | alarm_out=0
T=13325000 | rst=0 | H:M:S = 0:2:13 | alarm_en=1 | alarm_out=0
T=13425000 | rst=0 | H:M:S = 0:2:14 | alarm_en=1 | alarm_out=0
T=13525000 | rst=0 | H:M:S = 0:2:15 | alarm_en=1 | alarm_out=0
T=13625000 | rst=0 | H:M:S = 0:2:16 | alarm_en=1 | alarm_out=0
T=13725000 | rst=0 | H:M:S = 0:2:17 | alarm_en=1 | alarm_out=0
T=13825000 | rst=0 | H:M:S = 0:2:18 | alarm_en=1 | alarm_out=0
T=13925000 | rst=0 | H:M:S = 0:2:19 | alarm_en=1 | alarm_out=0
T=14025000 | rst=0 | H:M:S = 0:2:20 | alarm_en=1 | alarm_out=0
T=14125000 | rst=0 | H:M:S = 0:2:21 | alarm_en=1 | alarm_out=0
T=14225000 | rst=0 | H:M:S = 0:2:22 | alarm_en=1 | alarm_out=0
T=14325000 | rst=0 | H:M:S = 0:2:23 | alarm_en=1 | alarm_out=0
T=14425000 | rst=0 | H:M:S = 0:2:24 | alarm_en=1 | alarm_out=0
T=14440000 : SECOND ALARM CHECK hour=0 min=2 sec=24 alarm_out=0
=== SIMULATION COMPLETE ===
testbench.sv:130: $finish called at 14440000 (1ps)
